Designator,Manufacturer,Mfr P/N,Description,Qty,Unit Cost USD,Notes
Y1,Epson,FC-135 32.768KHZ ±20PPM,"32.768kHz tuning fork crystal, 12.5pF, SMD3215",1,0.32,"For nRF LFXO. Abracon ABS07 as alternate."
Y2,NDK,NX2016SA-32M-EXS00A,"32MHz crystal ±10ppm 8pF, SMD2016",1,0.55,"Nordic-recommended HFXO. Required for BLE radio cert."
SW1,Alps Alpine,SKRPACE010,"SMT tact switch 4.7x3.5mm, 1.6N, >100k cycles",1,0.16,"Front button - UP/NEXT."
SW2,Alps Alpine,SKRPACE010,"SMT tact switch 4.7x3.5mm, 1.6N, >100k cycles",1,0.16,"Front button - CONFIRM/BACK."
SW3,C&K,PTS526SMG15SMTRBLFS,"SMT side-actuated tact 5.2mm, 160gf",1,0.22,"Side button - power / recovery hold."
LED1,Wurth Elektronik,150060GS75000,"Green LED 0603, 20mA, 570nm",1,0.05,"PWM driven from MCU GPIO via 1k series."
F1,Littelfuse,0ZCJ0050AF2E,"PTC resettable fuse 500mA, 0805",1,0.12,"On VBUS upstream of charger."
TVS1,Littelfuse,SMF5.0CA,"Bidirectional TVS, 5V, SOD123",1,0.08,"On VBUS rail."
R_CC,Yageo,RC0402FR-075K1L,"5.1k 1% 0402 (CC1 + CC2 pulldown for USB-C UFP advertising)",2,0.01,"Critical for USB-C handshake. Do NOT substitute value."
R_PU,Yageo,Various 0402 1% resistors,"Pull-ups/downs (I2C 4.7k x2, button 100k x3, ADC divider, BOOT0)",15,0.005,"~15 pieces, mixed values. Group purchase as reel kit."
R_LED,Yageo,RC0402FR-071KL,"1k 1% 0402, LED current limit",1,0.005,"Trim if LED too bright at 3.3V."
C_DEC,Murata,GRM155R71C104KA88D,"0.1uF 0402 X7R 16V decoupling (various rails)",40,0.008,"~40 pieces across MCU/SE/charger/buck/display. Standard rail decoupling."
C_BULK,Murata,GRM188R60J106ME47D,"10uF 0603 X5R 6.3V bulk on VSYS and 3V3",6,0.04,"Bulk caps near buck output and battery + USB inputs."
C_BUCK_L,Murata,DFE201610E-2R2M,"2.2uH 1.2A power inductor 2016",1,0.18,"TPS62840 inductor; follow TI datasheet recommendation."
C_RF,Murata,GRM1555C1H6R8DA01D,"6.8pF C0G 0402, BLE antenna pi-network",3,0.02,"Population determined at EVT-2 by VNA tuning."
L_RF,Murata,LQG15HS3N9S02D,"3.9nH 0402 RF inductor, BLE pi-network",2,0.04,"Pi-net L. Population per EVT-2 tune."
C_XTAL,Murata,GRM1555C1H120JA01D,"12pF C0G 0402, HFXO load cap",2,0.02,"Per NDK NX2016SA datasheet."
C_LFXO,Murata,GRM1555C1H6R8DA01D,"6.8pF C0G 0402, LFXO load cap",2,0.02,"Per Epson FC-135 12.5pF CL with 3pF stray budget."
TP1,Keystone,5015,"PCB test point (SWD/SWCLK/Vbat/Gnd) x6",6,0.03,"Removed/blocked after PVT — see threat model."
PCB,n/a,4L-FR4-1.0mm-ENIG,"4-layer FR4 PCB, 1.0mm, ENIG finish, ~38x60mm",1,2.20,"4 layers needed for clean BLE return path + I2C shielding."
SHELL_TOP,CM (TBD),NW-COLD-TOP-A1,"CNC aluminium top shell, anodised black",1,3.50,"Includes PC window over e-ink + antenna keep-out."
SHELL_BOT,CM (TBD),NW-COLD-BOT-A1,"CNC aluminium bottom shell",1,2.80,"With USB-C cutout and side-button boss."
LENS,CM (TBD),NW-COLD-LENS-A1,"Polycarbonate display lens, 0.5mm, AR coating",1,0.40,"Bonded to top shell."
SCREW,Bossard,BN82428-M1.4x3,"M1.4 x 3mm Torx security screw, stainless",4,0.05,"Tamper-evident. Final size verified at DVT.""
SEAL,3M,7866 Custom-cut,"Tamper-evident void-on-removal label",1,0.18,"Verify 12-month shelf life @ 45C with vendor."
PKG_BOX,CM (TBD),NW-COLD-BOX-A1,"Retail box, soft-touch black, foam insert",1,1.20,"Includes quick-start card + recovery seed cards x2."
PKG_CABLE,CM (TBD),USB-C-A-C-1M,"USB-C to USB-C 1m braided cable, USB 2.0",1,0.85,"USB-IF compliance not required at 480Mbps."
PKG_CARD,n/a,NW-COLD-RECOV-CARDS,"2x recovery seed cards (24-word, anodised aluminium-look printed)",2,0.15,"Per device. Two cards = primary + Shamir share encouraged."
